"CommodityType","HS.Code","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","total","principleExportCategory","Principle.ReExportsCategory","principleImportCategory"
"IMPORT","87089300","Clutches and parts thereof","clutch booster",2815,"Other products","Other products ","Other Imports"
"IMPORT","20019000","Other","CRESPO CAPRES BOCAL 60G",2814,"Other products","Other products ","Other Imports"
"IMPORT","20019000","Other","CAPERS 125G",2808,"Other products","Other products ","Other Imports"
"IMPORT","20059900","Other","OTHER PICKLED VEGETABLES",2808,"Other products","Other products ","Other Imports"
"IMPORT","96039000","Other","PLASTIC BRUSH",2806,"Other products","Other products ","Other Imports"
"IMPORT","38229000","Other","BENEDICTS SOLUTIONS LR 500ML",2800,"Other products","Other products","Other Imports"
"IMPORT","96062200","Of base metal, not covered with textile material","METAL SNAP BUTTON",2767,"Other products","Other products ","Other Imports"
"IMPORT","84243000","Steam or sand blasting machines and similar jet projecting machines","WATER MACHINE",2751,"Other products","Other products ","Other Imports"
"IMPORT","09024000","Other black tea (fermented) and other partly fermented tea","Tea bag",2742,"Other products","Other products ","Other Imports"
"IMPORT","87089100","Radiators and parts thereof","RADIATOR PARTS",2740,"Other products","Other products ","Other Imports"
"IMPORT","48114100","Gummed or adhesive paper and paperboard","STICKY NOTES",2738,"Other products","Other products ","Other Imports"
"IMPORT","07133300","Kidney beans, including white pea beans (Phaseolus vulgaris)","BEANS",2736,"Other products","Other products ","Other Imports"
"IMPORT","09109900","Other","BAY LEAVES",2736,"Other products","Other products ","Other Imports"
"IMPORT","10082900","Other","MILLET",2736,"Other products","Other products ","Other Imports"
"IMPORT","21069000","Other","CREAM OR MILK SUBSTITUTES",2721,"Other products","Other products ","Other Imports"
"IMPORT","21039000","Other","FILLING LEMON",2720,"Other products","Other products ","Other Imports"
"IMPORT","16055200","Scallops, including queen scallops","DRIED SCALLOP",2718,"Other products","Other products ","Other Imports"
"IMPORT","40169300","Gaskets, washers and other seals","VALVE COVER GASKET",2716,"Other products","Other products ","Other Imports"
"IMPORT","82055900","Other","GLASS CUTTER",2715,"Other products","Other products ","Other Imports"
"IMPORT","09093200","Crushed or ground","CUMIN",2706,"Other products","Other products ","Other Imports"
"IMPORT","67049000","Of other materials","HAIR WIGS",2705,"Other products","Other products ","Other Imports"
"IMPORT","17049000","Other","CANDY/ SNACK PACK",2703,"Other products","Other products ","Other Imports"
"IMPORT","95079000","Other","CASTING NET",2701,"Other products","Other products ","Other Imports"
"IMPORT","84729000","Other","ROUND HEAD MINI STAPLER",2690,"Other products","Other products ","Other Imports"
"IMPORT","96035000","Other brushes constituting parts of machines, appliances or vehicles","3-SIDED GRILL BRUSH SMALL",2686,"Other products","Other products ","Other Imports"
"IMPORT","42022200","With outer surface of sheeting of plastic or of textile materials","BABY SLING",2679,"Other products","Other products ","Other Imports"
"IMPORT","11081400","Manioc (cassava) starch","Sago",2674,"Other products","Other products ","Other Imports"
"IMPORT","38089100","Insecticides","AEROGARD135ML",2670,"Other products","Other products ","Other Imports"
"IMPORT","20089700","Mixtures","MIXED FRUIT W/PEEL",2666,"Other products","Other products ","Other Imports"
"IMPORT","21011200","Preparations with a basis of extract, essences or concentrates or with a basis of","COFFEE",2665,"Other products","Other products ","Other Imports"
"IMPORT","40103900","Other","MACHINE TRANSMISSION BELT",2654,"Other products","Other products ","Other Imports"
"IMPORT","84529000","Furniture, bases and covers for sewing machines and parts thereof;......","SEWING MACHINE",2654,"Other products","Other products ","Other Imports"
"IMPORT","84242000","Spray guns and similar appliances","SPRAYER TOOL",2653,"Other products","Other products ","Other Imports"
"IMPORT","85167900","Other","BAG SEALER",2643,"Other products","Other products ","Other Imports"
"IMPORT","42010000","Saddlery and harness for any animal, of any material","AIR CUSHION 25MMX55CM",2634,"Other products","Other products ","Other Imports"
"IMPORT","48201000","Registers, account books,order and receipt books, letter pads....,","BUDGET & DAILY PLANNER",2634,"Other products","Other products ","Other Imports"
"IMPORT","42023900","Other","WALLET, COSMETIC BAG",2624,"Other products","Other products ","Other Imports"
"IMPORT","57029900","Of other textile materials","CARPETS & RUGS",2614,"Other products","Other products ","Other Imports"
"IMPORT","39264000","Statuettes and other ornamental articles","ORNAMENTS, FIGURINES",2613,"Other products","Other products ","Other Imports"
"IMPORT","70072900","Other","TEMPERED GLASS",2613,"Other products","Other products ","Other Imports"
"IMPORT","34011900","Other","BABY WIPES",2606,"Other products","Other products ","Other Imports"
"IMPORT","40149010","Teats","BABY PACIFIER + PACIFIER",2606,"Other products","Other products ","Other Imports"
"IMPORT","42021200","With outer surface of plastic or of textiles materials","PVC CARRY ON BAGS",2602,"Other products","Other products ","Other Imports"
"IMPORT","39221000","Baths, shower-baths sinks and wash-basins.f plastics.","WASH BASIN",2600,"Other products","Other products ","Other Imports"
"IMPORT","83023000","Other mountings, fittings and similar articles suitable for motor vehicle","GEAR BOX MOUNTING",2587,"Other products","Other products ","Other Imports"
"IMPORT","39269000","Others","HOOD",2571,"Other products","Other products ","Other Imports"
"IMPORT","49119900","Other","BUSINESS CARD",2568,"Other products","Other products ","Other Imports"
"IMPORT","82029900","Other","JIGSAW BLADES",2560,"Other products","Other products ","Other Imports"
"IMPORT","83081000","Hooks, eyes and eyelets","STEEL HOOK",2558,"Other products","Other products ","Other Imports"
"IMPORT","20081900","Other, including mixtures","OTHER EDIBLE NUT",2555,"Other products","Other products ","Other Imports"
"IMPORT","85044000","Static converters","POWER ADAPTER",2553,"Other products","Other products ","Other Imports"
"IMPORT","84732900","Parts","CASH REGISTER",2546,"Other products","Other products ","Other Imports"
