"CommodityType","HS.Code","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","total","principleExportCategory","Principle.ReExportsCategory","principleImportCategory"
"IMPORT","85072010","Deep cycle accumulators of a kind used in solar electric systems.","SOLAR BATTERY",51716001,"Other products","Other products ","Other Imports"
"IMPORT","84151090","Other","AIR CONDITIONERS",33292547,"Other products","Other products ","Other Imports"
"IMPORT","94069000","Other","PREFAB",28459321,"Other products","Other products ","Other Imports"
"IMPORT","84198900","Other","AEROREFROIDISSEUR",27391304,"Other products","Other products ","Other Imports"
"IMPORT","27149000","Other","BITUMEN",22056894,"Other products","Fuel","Other Imports"
"IMPORT","32099000","Other","PAINTS",18699380,"Other products","Other products ","Other Imports"
"IMPORT","87019100","Not exceeding 18 kW","CONTAINER CARGO TRUCK 4413",16164942,"Other products","Other products ","Other Imports"
"IMPORT","84158100","Incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle","AIR COOLED PACKAGE UNITS",14033251,"Other products","Other products ","Other Imports"
"IMPORT","04072100","Of fowls of the species Gallus domesticus","EGG",12120195,"Other products","Other products ","Other Imports"
"IMPORT","84842000","Mechanical seals","SEAL",10561648,"Other products","Other products ","Other Imports"
"IMPORT","30024100","Vaccines for human medicine","VACCINES",10522824,"Other products","Other products ","Other Imports"
"IMPORT","85044000","Static converters","QUATTRO 48/10000/140-100/100 230V",9317823,"Other products","Other products ","Other Imports"
"IMPORT","91011100","With mechanical display only","MECHANICAL WATCH",8553662,"Other products","Other products ","Other Imports"
"IMPORT","90318000","Other instruments, appliances machines","OTHER INSZT SAMPLER",8537685,"Other products","Other products ","Other Imports"
"IMPORT","18063200","Not filled","CHOCOLATE",8170398,"Other products","Other products ","Other Imports"
"IMPORT","15171000","Margarine, excluding liquid margarine","MARGARINE",7437394,"Other products","Other products ","Other Imports"
"IMPORT","52085900","Other fabrics","PRINTED FABRIC",7046423,"Other products","Other products ","Other Imports"
"IMPORT","21039000","Other","SAUCES",6931516,"Other products","Other products ","Other Imports"
"IMPORT","15119000","Other","COOKING OIL",6551006,"Other products","Other products ","Other Imports"
"IMPORT","42029900","Other","BAGS & CASES",6491986,"Other products","Other products ","Other Imports"
"IMPORT","04062000","Grated or powdered cheese, of all kinds","GRATED CHEESE",6399131,"Other products","Other products ","Other Imports"
"IMPORT","38089100","Insecticides","MOSQUITO REPELLENT",6319289,"Other products","Other products ","Other Imports"
"IMPORT","85076010","Lithium-ion","AC50B PORTABLE POWER STATION",6168266,"Other products","Other products","Other Imports"
"IMPORT","15111000","Crude oil","FIELDER COOKING OIL",6105695,"Other products","Other products ","Other Imports"
"IMPORT","48192000","Folding cartons, boxes and cases, of non-corrugated paper or paperboard","EMPTY CARTON WATER",6020374,"Other products","Other products ","Other Imports"
"IMPORT","02069000","Other, frozen","OTHER FROZEN PORK",5953900,"Other products","Other products ","Other Imports"
"IMPORT","48022000","Paper and paperboard as a base for photo-sensitive... or paperboard","COPY PAPER",5914746,"Other products","Other products ","Other Imports"
"IMPORT","04063000","Processed cheese, not grated or powdered","CHEESE",5574315,"Other products","Other products ","Other Imports"
"IMPORT","84159000","Parts","DUCTING FOR AIR CONDITION  (MCALPINE)",5541143,"Other products","Other products ","Other Imports"
"IMPORT","16010000","Sausages and similar products, of meat, meat offal or blood; food preparations based on","CHICKEN FRANKS",5438196,"Other products","Other products ","Other Imports"
"IMPORT","85287200","Other, colour","TV DEA7523280 // 40S5400A",5432466,"Other products","Other products ","Other Imports"
"IMPORT","95030000","Tricycles, scooters, pedal cars toys, etc; dolls' carriages; toys; recre...puzzels ...","TOYS",5426067,"Other products","Other products ","Other Imports"
"IMPORT","16010000","Sausages and similar products, of meat, meat offal or blood; food preparations based on","CHICKEN FRANKS 340G",5362665,"Other products","Other products ","Other Imports"
"IMPORT","21022000","Inactive yeasts; other single-cell micro-organisms, dead","INSTANT DRY YEAST",5292701,"Other products","Other products ","Other Imports"
"IMPORT","54075400","Printed","STOCKLOT OF TEXTILE PRINTED SHIRTING",5158663,"Other products","Other products ","Other Imports"
"IMPORT","20041000","Potatoes","FRIES",5124872,"Other products","Other products ","Other Imports"
"IMPORT","09041200","Crushed or ground","PEPPER",4945452,"Other products","Other products ","Other Imports"
"IMPORT","52085900","Other fabrics","FABRIC PRINTED",4892547,"Other products","Other products ","Other Imports"
"IMPORT","17049000","Other","CONFECTIONERY",4827328,"Other products","Other products ","Other Imports"
"IMPORT","02032900","Other","PORK",4824740,"Other products","Other products ","Other Imports"
"IMPORT","85287200","Other, colour","TV DEA7523279 // 32S5400AF",4811975,"Other products","Other products ","Other Imports"
"IMPORT","15152900","Other","COOKING OIL",4598418,"Other products","Other products ","Other Imports"
"IMPORT","33072000","Personal deodorants and antiperspirants","DEODORANTS",4547697,"Other products","Other products ","Other Imports"
"IMPORT","85068000","Other primary cells and primary batteries","BATTERY",4467304,"Other products","Other products ","Other Imports"
"IMPORT","34011900","Other","LAUNDRY DETERGENT",4400555,"Other products","Other products ","Other Imports"
"IMPORT","04090000","Natural honey","HONEY",4392666,"Other products","Other products ","Other Imports"
"IMPORT","84501100","Fully-automatic machines","W MACHINE - P618FLW",4161080,"Other products","Other products ","Other Imports"
"IMPORT","56081100","Made up fishing nets","FISHING NET",4160183,"Other products","Other products ","Other Imports"
"IMPORT","15149900","Other","CANOLA OIL",4150631,"Other products","Other products ","Other Imports"
"IMPORT","08051000","Oranges","ORANGES KG",4135318,"Other products","Other products ","Other Imports"
"IMPORT","08081000","Apples","APPLE KG",4131918,"Other products","Other products ","Other Imports"
"IMPORT","87089900","Other","PANEL AND BODY PANELS",3979364,"Other products","Other products ","Other Imports"
"IMPORT","15171000","Margarine, excluding liquid margarine","MIRACLE BUTTER",3975204,"Other products","Other products ","Other Imports"
"IMPORT","84314900","Other","EXCAVATOR WOOD CHIPPER",3963733,"Other products","Other products ","Other Imports"
"IMPORT","02069000","Other, frozen","FROZEN PORK",3858612,"Other products","Other products ","Other Imports"
"IMPORT","08081000","Apples","APPLES",3687994,"Other products","Other products ","Other Imports"
"IMPORT","87115000","With reciprocating internal combustion piston engine of a cylinder capacity >800 cc","CAN AM ATV",3671779,"Other products","Other products ","Other Imports"
"IMPORT","20041000","Potatoes","FROZEN POTATO CHIPS",3654523,"Other products","Other products ","Other Imports"
"IMPORT","19011000","Preparations suitable for infants or young children, put up for retail sale","INFANT MILK",3635299,"Other products","Other products ","Other Imports"
"IMPORT","69059000","Other","TILES",3567162,"Other products","Other products ","Other Imports"
"IMPORT","04051000","Butter","BUTTER",3526954,"Other products","Other products ","Other Imports"
"IMPORT","20041000","Potatoes","FROZEN FRIES 2KG",3454744,"Other products","Other products ","Other Imports"
"IMPORT","09023000","Black tea (fermented) & partly fermented tea,in immediate packings of a content...,","BLACK TEA",3446855,"Other products","Other products ","Other Imports"
"IMPORT","15171000","Margarine, excluding liquid margarine","SPREADS 250G-1KG",3439842,"Other products","Other products ","Other Imports"
"IMPORT","04051000","Butter","ANCHOR BUTTER 7G-454G",3419088,"Other products","Other products ","Other Imports"
"IMPORT","69073000","Mosaic cubes and the like, other than those of subheading 6907.40","RUSTIE TILE 600X600",3379279,"Other products","Other products ","Other Imports"
"IMPORT","20052000","Potatoes","POTATO CHIPS",3354711,"Other products","Other products ","Other Imports"
"IMPORT","84131100","Pumps for dispensing fuel or lubricants, for filling-stations or garages","MOBILE FUEL DEVICE",3343153,"Other products","Other products ","Other Imports"
"IMPORT","17041000","Chewing gum, whether or not sugar-coated","CHEWING GUM MARS WRIGLEY",3310814,"Other products","Other products ","Other Imports"
"IMPORT","21011200","Preparations with a basis of extract, essences or concentrates or with a basis of","3IN1 COFFEE MIX 20*20G*20",3258412,"Other products","Other products ","Other Imports"
"IMPORT","69109000","Other","TOILET SUITES",3237358,"Other products","Other products ","Other Imports"
"IMPORT","84191200","Solar water heaters","SOLAR WATER HEATER",3209506,"Other products","Other products","Other Imports"
"IMPORT","16010000","Sausages and similar products, of meat, meat offal or blood; food preparations based on","CHICKEN SAVELOY SAUSAGE 500G",3192535,"Other products","Other products ","Other Imports"
"IMPORT","15171000","Margarine, excluding liquid margarine","SPREADS",3187225,"Other products","Other products ","Other Imports"
"IMPORT","84672100","Drills of all kinds","18V DRIVER DRILLS",3140958,"Other products","Other products ","Other Imports"
"IMPORT","86090000","Containers specially designed for transport by one or more methods...,","20 FT SOC OGL OWNED EMPTY CARBON DIOXIDE ",3113696,"Other products","Other products ","Other Imports"
"IMPORT","94054100","Photovoltaic, designed for  use solely with light-emitting  diode (LED) light sources","300W AIO SOLAR LIGHT",3089272,"Other products","Other products ","Other Imports"
"IMPORT","21042000","Homogenized composite food preparations","BABY CUSTARD FOODS 110G-120G",3062009,"Other products","Other products ","Other Imports"
"IMPORT","07031000","Onions and shallots","ONIONS KG",3053478,"Other products","Other products ","Other Imports"
"IMPORT","87168000","Other vehicles","WHEELBARROWS 70L",3040345,"Other products","Other products ","Other Imports"
"IMPORT","07032000","Garlic","GARLIC",3038958,"Other products","Other products ","Other Imports"
"IMPORT","85287200","Other, colour","TV EL V225508A // 50C655",3026479,"Other products","Other products ","Other Imports"
"IMPORT","94054900","Other","LIGHTS",2986352,"Other products","Other products ","Other Imports"
"IMPORT","90189000","Other instruments and apparatus","BARCO SURGICAL MONITOR MDSC 8255",2985970,"Other products","Other products ","Other Imports"
"IMPORT","94054900","Other","OTHER SOLAR LIGHT",2868970,"Other products","Other products ","Other Imports"
"IMPORT","21069000","Other","CORDIAL",2862801,"Other products","Other products ","Other Imports"
"IMPORT","54079400","Printed","POLYSTER SHIRTING MATERIAL",2819070,"Other products","Other products ","Other Imports"
"IMPORT","87164000","Other trailers and semi-trailers","CONTAINER TRAILER TLD",2806962,"Other products","Other products ","Other Imports"
"IMPORT","87164000","Other trailers and semi-trailers","TRAILERS",2806962,"Other products","Other products ","Other Imports"
"IMPORT","96190010","Non-reusable napkins (diapers)","DIAPERS",2717577,"Other products","Other products","Other Imports"
"IMPORT","20041000","Potatoes","FROZEN CHIPS",2714702,"Other products","Other products ","Other Imports"
"IMPORT","48202000","Exercise-books","EXERCISE BOOK",2700950,"Other products","Other products ","Other Imports"
"IMPORT","95069900","Other","Custom Sized rectangle Pool - 12m x 3m internal di",2641859,"Other products","Other products ","Other Imports"
"IMPORT","52095900","Other fabrics","PRINTED FABRIC",2600860,"Other products","Other products ","Other Imports"
"IMPORT","07061000","Carrots and turnips","CARROTS KG",2585928,"Other products","Other products ","Other Imports"
"IMPORT","83021000","Hinges","HINGES",2483178,"Other products","Other products ","Other Imports"
"IMPORT","04072900","Other","CHILLED  EGG",2471375,"Other products","Other products ","Other Imports"
"IMPORT","90272000","Chromatographs and electrophoresis instruments","SPECTROMETRE",2459306,"Other products","Other products ","Other Imports"
"IMPORT","15162000","Vegetable fats and oils and their fractions","TAWON BRAND PURE VEGETABLE COOKING OIL",2441150,"Other products","Other products ","Other Imports"
"IMPORT","34025000","Preparations put up for retail sale","DETERGENT PRODUCTS",2425485,"Other products","Other products ","Other Imports"
"IMPORT","04072100","Of fowls of the species Gallus domesticus","CHILLED EGGS",2387199,"Other products","Other products ","Other Imports"
"IMPORT","84659100","Sawing machines","SAWMILL",2375866,"Other products","Other products ","Other Imports"
"IMPORT","29141100","Acetone","ACETONE",2356437,"Other products","Other products ","Other Imports"
"IMPORT","21032000","Tomato ketchup and other tomato sauces","TOMATO SAUCE",2333949,"Other products","Other products ","Other Imports"
"IMPORT","17049000","Other","CANDIES",2325509,"Other products","Other products ","Other Imports"
"IMPORT","85414900","Other","SOLAR PANELS",2285881,"Other products","Other products ","Other Imports"
"IMPORT","84272000","Other selfpropelled trucks","3.5TON DIESEL FORKLIFT TRUCK",2276140,"Other products","Other products ","Other Imports"
"IMPORT","87087000","Road wheels and parts and accessories thereof","WHEEL RIMS",2238044,"Other products","Other products ","Other Imports"
"IMPORT","34022000","containing soap","DETERGENT",2228682,"Other products","Other products ","Other Imports"
"IMPORT","69059000","Other","TILE CERAMIC",2204971,"Other products","Other products ","Other Imports"
"IMPORT","07019000","Other potatoes, fresh or chilled","POTATO KG",2142502,"Other products","Other products ","Other Imports"
"IMPORT","17041000","Chewing gum, whether or not sugar-coated","CHEWING GUM",2138585,"Other products","Other products ","Other Imports"
"IMPORT","34011900","Other","BABY WASH & WIPES",2138208,"Other products","Other products ","Other Imports"
"IMPORT","21011200","Preparations with a basis of extract, essences or concentrates or with a basis of","3IN1 COFFEE MIX 40*20G*12",2118850,"Other products","Other products ","Other Imports"
"IMPORT","02101100","Hams, shoulders and cuts thereof, with bone in","HAM CASALINGO",2083965,"Other products","Other products ","Other Imports"
"IMPORT","85131010","Solar powered","SOLAR STREET LAMP",2069861,"Other products","Other products ","Other Imports"
"IMPORT","85287200","Other, colour","TV ELV225508B // 55C655",2059018,"Other products","Other products ","Other Imports"
"IMPORT","40169900","Other","OTHER  RING",2041327,"Other products","Other products ","Other Imports"
"IMPORT","48236900","Other","CLAMSHELL",2024864,"Other products","Other products ","Other Imports"
"IMPORT","84198900","Other","INTERCOOLING ASSY",2017530,"Other products","Other products ","Other Imports"
"IMPORT","08061000","Fresh","GRAPES  KG  (MORCO)",2008725,"Other products","Other products ","Other Imports"
"IMPORT","40170000","Hard rubber (eg. ebonite) in all forms; articles of hard rubber","OTHER BUSSHING RBBER",1996950,"Other products","Other products ","Other Imports"
"IMPORT","07031000","Onions and shallots","ONION",1963614,"Other products","Other products ","Other Imports"
"IMPORT","07031000","Onions and shallots","ONIONS",1917661,"Other products","Other products ","Other Imports"
"IMPORT","21069000","Other","FOOD PREPS",1906501,"Other products","Other products ","Other Imports"
"IMPORT","96190010","Non-reusable napkins (diapers)","SOFTEX",1896769,"Other products","Other products","Other Imports"
"IMPORT","21039000","Other","OTHER SAUCE",1895366,"Other products","Other products ","Other Imports"
"IMPORT","20052000","Potatoes","POTATO SNK",1895067,"Other products","Other products ","Other Imports"
"IMPORT","85131010","Solar powered","SOLAR LIGHTS",1884555,"Other products","Other products ","Other Imports"
"IMPORT","96190010","Non-reusable napkins (diapers)","DISPOSABLE BABY DIAPERS",1863735,"Other products","Other products","Other Imports"
"IMPORT","04039000","Other","CREAM 1L (LACTALIS)",1860937,"Other products","Other products ","Other Imports"
"IMPORT","17049000","Other","CANDY",1860251,"Other products","Other products ","Other Imports"
"IMPORT","82152000","Other sets of assorted articles","KITCHEN USTENSIL",1855142,"Other products","Other products ","Other Imports"
"IMPORT","21021000","Active yeasts","ANGEL  INSTANT  DRY  YEAST  (LOW  SUGAR)",1834934,"Other products","Other products ","Other Imports"
"IMPORT","15155000","Sesame oil and fractions","SUPER COOKING OIL",1812484,"Other products","Other products ","Other Imports"
"IMPORT","94051100","Designed for use solely  with light-emitting diode  (LED) light sources","LED HIGH BAY LIGHTS, LED BATTENS",1749768,"Other products","Other products ","Other Imports"
"IMPORT","48026900","Other","COPY PAPER",1734140,"Other products","Other products ","Other Imports"
"IMPORT","33072000","Personal deodorants and antiperspirants","NIVEA DEODRANT",1727636,"Other products","Other products ","Other Imports"
"IMPORT","96190010","Non-reusable napkins (diapers)","NAPPY & PADS",1682421,"Other products","Other products","Other Imports"
"IMPORT","32091000","based on acrylic or vinyl polymers","SOLAGARD LOW SHEEN",1679892,"Other products","Other products ","Other Imports"
"IMPORT","34012000","Soap in other forms","LIBY  SUPER  CLEAN  DETERGENT  POWDER",1673411,"Other products","Other products ","Other Imports"
"IMPORT","21032000","Tomato ketchup and other tomato sauces","TOMATO SAUCE 8ML-3KG",1663471,"Other products","Other products ","Other Imports"
"IMPORT","34025000","Preparations put up for retail sale","DETERGENT POWDER/DISHWASHING LIQUID ETCC..",1655620,"Other products","Other products ","Other Imports"
"IMPORT","08061000","Fresh","GRAPES",1653932,"Other products","Other products ","Other Imports"
"IMPORT","94055000","Non-electrical lamps and lighting fittings","SOLAR LIGHT",1631043,"Other products","Other products ","Other Imports"
"IMPORT","84304900","Other","OTHER   PARTS DRILLING MACHINE",1616371,"Other products","Other products ","Other Imports"
"IMPORT","21069000","Other","SO GOOD UHT MILK",1610749,"Other products","Other products ","Other Imports"
"IMPORT","18061000","Cocoa powder, containing added sugar or other sweetening matter","MILO ACTIV",1598389,"Other products","Other products ","Other Imports"
"IMPORT","85369000","Other apparatus","WEATHERPROOF BOX",1585649,"Other products","Other products ","Other Imports"
"IMPORT","18069000","Other","CHOCOLATE",1565534,"Other products","Other products ","Other Imports"
"IMPORT","39259000","Builders' ware of plastics","PVC CEILING",1553966,"Other products","Other products ","Other Imports"
"IMPORT","32071000","Prepared pigments, opacifiers and colours and similar preparation","PACIFIC COATINGS/ADHESIVES",1552616,"Other products","Other products ","Other Imports"
"IMPORT","56079000","Other","ROPE",1547543,"Other products","Other products ","Other Imports"
"IMPORT","15159090","Other","COOKING OIL 4DZ 250ML",1532399,"Other products","Other products ","Other Imports"
"IMPORT","15159090","Other","COOKING OIL 4DZ/250ML",1532399,"Other products","Other products ","Other Imports"
"IMPORT","84798900","Other","OTHER APPLIANCES",1528333,"Other products","Other products ","Other Imports"
"IMPORT","84314300","Parts for boring or sinking machinery of subheading 8430.41 or 8430.49","DRIVE SAFT",1517497,"Other products","Other products ","Other Imports"
"IMPORT","15092000","Extra virgin olive oil","OLIVE OIL",1493980,"Other products","Other products ","Other Imports"
"IMPORT","34024900","Other","LIBY DISHWASHING LIQUID & FRESH FRAGRANCE ",1470841,"Other products","Other products ","Other Imports"
"IMPORT","84521000","Sewing machines of the household type","SEWING MACHINE",1463742,"Other products","Other products ","Other Imports"
"IMPORT","32041300","Basic dyes and preparations based thereon","DYE",1456650,"Other products","Other products ","Other Imports"
"IMPORT","25010000","Salt (including table salt and denatured salt) and pure sodium chloride, NES","SALT",1456470,"Other products","Other products ","Other Imports"
"IMPORT","71131900","Of other precious metal, whether or not plated or clad with precious metal","JEWELRY , BRACELET, RING, BANGLE",1448840,"Other products","Other products ","Other Imports"
"IMPORT","38244000","Prepared additives for cements, mortars or concretes","MASTER GLENIUM",1444566,"Other products","Other products ","Other Imports"
"IMPORT","21039000","Other","CONDIMENTS 71G-730ML",1432265,"Other products","Other products ","Other Imports"
"IMPORT","68118200","Other sheets, panels, tiles and similar articles","FIBRE CEMENT BOARD - PRIMAAQUA",1417242,"Other products","Other products ","Other Imports"
"IMPORT","68118200","Other sheets, panels, tiles and similar articles","FIBRE CEMENT BOARD - PRIMAFLEX",1417242,"Other products","Other products ","Other Imports"
"IMPORT","69072100","Of a water absorption coefficient by weight not exceeding 0.5 %","TILE PORCELAIN",1415188,"Other products","Other products ","Other Imports"
"IMPORT","08052100","Mandarins (including tangerines and satsumas)","MANDARINS KG",1389185,"Other products","Other products ","Other Imports"
"IMPORT","21031000","Soya sauce","SOY SAUCE DARK",1374713,"Other products","Other products ","Other Imports"
"IMPORT","54075400","Printed","CLOTH",1371315,"Other products","Other products ","Other Imports"
"IMPORT","95044000","Playing cards","PLAYING CARDS",1359651,"Other products","Other products ","Other Imports"
"IMPORT","07032000","Garlic","GARLIC CN KG",1345522,"Other products","Other products ","Other Imports"
"IMPORT","84331900","Other","MOWER",1341424,"Other products","Other products ","Other Imports"
"IMPORT","04063000","Processed cheese, not grated or powdered","PROCESSED CHEESE",1337694,"Other products","Other products ","Other Imports"
"IMPORT","95062900","Other","SWIM MASK",1334619,"Other products","Other products ","Other Imports"
"IMPORT","70131000","Of glass-ceramics","DRINKING GLASSES",1334375,"Other products","Other products ","Other Imports"
"IMPORT","69049000","Other","CERAMIC TILES",1329643,"Other products","Other products ","Other Imports"
"IMPORT","04063000","Processed cheese, not grated or powdered","CHEESE 125G - 432G (LACTALIS)",1327430,"Other products","Other products ","Other Imports"
"IMPORT","20052000","Potatoes","ASS POTATO CHIPS",1326080,"Other products","Other products ","Other Imports"
"IMPORT","04069000","Other cheese","CHEESE",1324669,"Other products","Other products ","Other Imports"
"IMPORT","02062200","Livers","FROZEN LIVERS/HEART",1312671,"Other products","Other products ","Other Imports"
"IMPORT","84672900","Other","ANGLE GRINDER 720W",1297368,"Other products","Other products ","Other Imports"
"IMPORT","11022000","Maize (corn) flour","CORN FLOUR",1294742,"Other products","Other products ","Other Imports"
"IMPORT","96190010","Non-reusable napkins (diapers)","SANITARY NAPKIN",1288526,"Other products","Other products","Other Imports"
"IMPORT","21039000","Other","SAUCE",1275788,"Other products","Other products ","Other Imports"
"IMPORT","32141000","Glaziers'& grafting putty, resin cements,caulking comp's & othr mastics; painters'flg's","TILE GLUE, COARSE GROUT, FINISH PUTTY",1274480,"Other products","Other products ","Other Imports"
"IMPORT","90328900","Other","SOLAR CONTROLLER",1274469,"Other products","Other products ","Other Imports"
"IMPORT","39181000","Of polymers of vinyl chloride","FLOOR",1268824,"Other products","Other products ","Other Imports"
"IMPORT","94054100","Photovoltaic, designed for  use solely with light-emitting  diode (LED) light sources","SOLAR BOLLARD LIGHTS",1267046,"Other products","Other products ","Other Imports"
"IMPORT","39219000","Other","BLACK PLASTIC",1266812,"Other products","Other products ","Other Imports"
"IMPORT","85076010","Lithium-ion","BLUETTI AC200MAX POWER STATION",1259138,"Other products","Other products","Other Imports"
"IMPORT","96082000","Felt-tipped and other porous-tipped pens and markers","MARKER PEN-BLACK",1256561,"Other products","Other products ","Other Imports"
"IMPORT","70109000","Other","STC BLOOD CULTURE BOTTLES",1229097,"Other products","Other products ","Other Imports"
"IMPORT","21069000","Other","PREMIX BUTCHERY INGREDIENTS",1221703,"Other products","Other products ","Other Imports"
"IMPORT","39203000","Of polymers of styrene","LABELS",1220460,"Other products","Other products ","Other Imports"
"IMPORT","90258000","Other instruments","3 PHASE DATA LOGGER",1196297,"Other products","Other products ","Other Imports"
"IMPORT","71131100","Of silver, whether or not plated or clad with other precious metal","SILVER JEWELERY",1196289,"Other products","Other products ","Other Imports"
"IMPORT","85285200","Cpble of drctly cnctng to & dsgned for use wth an autmtc dta prcsng mchne of hdng 84.71","DELL OPTIPLEX 3000 MICRO WITH 8GB RAM , ",1194388,"Other products","Other products ","Other Imports"
"IMPORT","95066200","Inflatable","BALLS",1182439,"Other products","Other products ","Other Imports"
"IMPORT","84433200","Other, capable of connecting to an automatic data processing or to a network...,","nScan 1060",1174430,"Other products","Other products ","Other Imports"
"IMPORT","32030000","Colouring matter of vegetable or animal origin, and preparations ...,","MAT DYE",1171296,"Other products","Other products ","Other Imports"
"IMPORT","21069000","Other","SOLOS CHOICE COCONUT CREAM",1167313,"Other products","Other products ","Other Imports"
"IMPORT","07032000","Garlic","GARLIC CN",1155935,"Other products","Other products ","Other Imports"
"IMPORT","16010000","Sausages and similar products, of meat, meat offal or blood; food preparations based on","SAUSAGE",1153152,"Other products","Other products ","Other Imports"
"IMPORT","16010000","Sausages and similar products, of meat, meat offal or blood; food preparations based on","CHICKEN SAVELOYS",1152774,"Other products","Other products ","Other Imports"
"IMPORT","85287200","Other, colour","50 TV DU7700 CRYSTAL UHD",1148751,"Other products","Other products ","Other Imports"
"IMPORT","54076900","Containing 85% or more by weight of non-textured polyester filaments","POLYESTER SHIRING MATERIAL",1127628,"Other products","Other products ","Other Imports"
"IMPORT","94052900","Other","LIGHTING",1121260,"Other products","Other products ","Other Imports"
"IMPORT","09012100","Not decaffeinated","NESCAFE 50G-500G",1101776,"Coffee, all types","Other products ","Other Imports"
"IMPORT","32141000","Glaziers'& grafting putty, resin cements,caulking comp's & othr mastics; painters'flg's","AFTEK BOND & FIX 400 GREY 20KG",1101538,"Other products","Other products ","Other Imports"
"IMPORT","02023000","Boneless","BEEF",1100772,"Beef fresh, chilled, frozen and preserved","Other products ","Other Imports"
"IMPORT","20052000","Potatoes","POTATO SNACKS",1100192,"Other products","Other products ","Other Imports"
"IMPORT","07061000","Carrots and turnips","carrot",1099800,"Other products","Other products ","Other Imports"
"IMPORT","21050000","Ice cream and other edible ice, whether or not containing cocoa.","ICE CREAM",1094867,"Other products","Other products ","Other Imports"
"IMPORT","84144000","Air compressors mounted on a wheeled chassis for towing","AIR COMPRESSOR",1085760,"Other products","Other products ","Other Imports"
"IMPORT","04041000","Whey and modified whey, whether or not concentrated or containing...,sweetening matter","WHEY POWDER",1085011,"Other products","Other products ","Other Imports"
"IMPORT","39249090","Other","PLASTIC WARE",1070935,"Other products","Other products ","Other Imports"
"IMPORT","30051000","Adhesive dressings and other articles having an adhesive layer","GAUZE PARAFIN 30G/17g/BANDAGE",1066140,"Other products","Other products ","Other Imports"
"IMPORT","42022200","With outer surface of sheeting of plastic or of textile materials","WOVEN SHOPPING BAG",1064204,"Other products","Other products ","Other Imports"
"IMPORT","84314900","Other","MONDE NEW LOADER SCREENER BUCKET ROTARY ",1046530,"Other products","Other products ","Other Imports"
"IMPORT","87083000","Brakes and servo-brakes and parts thereof","BRAKE",1040201,"Other products","Other products ","Other Imports"
"IMPORT","85414900","Other","TW SOLAR 440 WATT 108 CELL MONO FACIAL",1034250,"Other products","Other products ","Other Imports"
"IMPORT","33072000","Personal deodorants and antiperspirants","PERFUME",1031558,"Other products","Other products ","Other Imports"
"IMPORT","07019000","Other potatoes, fresh or chilled","POTATOES",1031106,"Other products","Other products ","Other Imports"
"IMPORT","42022200","With outer surface of sheeting of plastic or of textile materials","SCHOOL BAG",1030717,"Other products","Other products ","Other Imports"
"IMPORT","96091000","Pencils and crayons, with leads encased in a rigid sheath","PENCILS AND CRAYONS",1027706,"Other products","Other products ","Other Imports"
"IMPORT","90041000","Sunglasses","SUNGLASSES - NEW",1026890,"Other products","Other products ","Other Imports"
"IMPORT","82055900","Other","BALL VALVE",1026441,"Other products","Other products ","Other Imports"
"IMPORT","49119900","Other","SCHOOL MAGAZINE",1016486,"Other products","Other products ","Other Imports"
"IMPORT","39211100","Of polymers of styrene","GLAD WRAP",1014260,"Other products","Other products ","Other Imports"
"IMPORT","32141000","Glaziers'& grafting putty, resin cements,caulking comp's & othr mastics; painters'flg's","TILE GLUE",1005368,"Other products","Other products ","Other Imports"
"IMPORT","19012000","Mixes and doughs for preparation of bakers' wares of 19.05","CAKE MIX",1004731,"Other products","Other products ","Other Imports"
"IMPORT","84672200","Saws","18MM JIGSAW",1002029,"Other products","Other products ","Other Imports"
"IMPORT","84439900","Other","TCRU SET B ORU TYPE S9 PRO",1001285,"Other products","Other products ","Other Imports"
"IMPORT","15171000","Margarine, excluding liquid margarine","MAGARINE",998589,"Other products","Other products ","Other Imports"
"IMPORT","95062900","Other","SNORKLE/DIVING MASK",994679,"Other products","Other products ","Other Imports"
"IMPORT","25010000","Salt (including table salt and denatured salt) and pure sodium chloride, NES","SALT 250G-1KG",992116,"Other products","Other products ","Other Imports"
"IMPORT","17041000","Chewing gum, whether or not sugar-coated","BUBBLE GUM",988904,"Other products","Other products ","Other Imports"
"IMPORT","90329000","Parts and accessories of automatic regulating devices of 90.32","CODEUR PROFIBUS",987197,"Other products","Other products ","Other Imports"
"IMPORT","83025000","Hat-racks, hat-pegs, brackets and similar fixtures","ANGLE BRACKETS",986605,"Other products","Other products ","Other Imports"
"IMPORT","07031000","Onions and shallots","BROWN ONIONS",979680,"Other products","Other products ","Other Imports"
"IMPORT","87089900","Other","BED LINER",978711,"Other products","Other products ","Other Imports"
"IMPORT","20081900","Other, including mixtures","DING DONG MIX NUTS",975910,"Other products","Other products ","Other Imports"
"IMPORT","08061000","Fresh","GRAPES KG",970006,"Other products","Other products ","Other Imports"
"IMPORT","35069900","Prepared glues and other prepared adhesives, nes","TILE GLUE",969499,"Other products","Other products ","Other Imports"
"IMPORT","85131010","Solar powered","SOLAR FLOODLIGHT",968641,"Other products","Other products ","Other Imports"
"IMPORT","35069900","Prepared glues and other prepared adhesives, nes","GLUE",968309,"Other products","Other products ","Other Imports"
"IMPORT","86090000","Containers specially designed for transport by one or more methods...,","CONTAINER",965312,"Other products","Other products ","Other Imports"
