"","HS.Code","HS.Code_6","CE.CD","CO","SITC_1","HS.Code_2","Office","Reg.Ref","Reg..Date","Type","CP4","CP3","Declarant","Con_cod","Con...Exp.name","Shipper...Buyer.name","Itm..","SITC","PRF","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","Wgt..Gross","Wgt..Net","Pkg..","Pkg..type","Supp.Qty","Supp","TOD","Stat..Value","IMD","VAT","IEX","DEX","EXD","OED","RawDataRowID","HS.Code_4","SITC_3","Year","Month","Day","Mode.of.Transport","HS.Section","SITC.description","IMPORT.CTY.CD","CTY_Origin","IMPORT.COUNTRY","IMPORT.REGION","IMPORT.REG.","IMPORT.PARTNER.COUNTRIES","CTY_Dest","EXPORT.CTY.CD","EXPORT.COUNTRY","EXPORT.REGION","EXPORT.REG.","EXPORT.PARTNER.COUNTRIES","TAR_ALL","TAR_DSC","Principle.Exports","Principle.ReExports","Principle.Imports","Classifications.Combined","Unit.Qty","Import.Duty.Rate","BEC4","Description","CommodityType","Unhealthy.Focus.Food.Category","Food.sub.category","Product"
"1127","17049000",170490,"AU","AU",0,17,"VSEA","2021 / C / 7682",2021-12-06,"IM / 4",4000,0,357386,"103006","HEALTHWISE PHARMACY
","EXSEL PACIFIC PTY LTD
",12,62.29,NA,"Other","OTHER GLUCOJEL","15.84","15.84","0","Unpacked or ","15.84","KGM","FOB",27934,"2,795.00","4,655.00","315",0,0,0,8904,1704,62,2021,"December",6,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM","10",122,"Consumption goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1128","17049000",170490,"NZ","NZ",0,17,"SSEA","2021 / C / 1946",2021-12-21,"IM / 4",4000,0,266664,"802611","SUNSHINE SHOPPING ","FRESHA EXPORT LIMITED
",15,62.29,NA,"Other","SWEETS","86.4","86.4","0","Enclosure; ","86.4","KGM","FOB",45707,"4,570.00","7,800.00","1,730.00",0,0,0,2164,1704,62,2021,"December",21,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM","10",122,"Consumption goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1129","17049000",170490,"HK","CN",0,17,"VSEA","2021 / C / 8074",2021-12-21,"IM / 4",4000,0,233921,"400954","MAGENTA HOLDINGS ","ASIAPRODUCTS IMMPORT & ",5,62.29,NA,"Other","LOLLY/LOLLIPOP","3,665.00","3,665.00","523","Cartons","3,376.88","KGM","FOB",656061,"65,605.00","118,380.00","67,540.00",0,0,0,11998,1704,62,2021,"December",21,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","CN","CN","CHINA, PEOPLES REPUBLIC OF","ASIA",3,"CHINA, PEOPLES REPUBLIC OF","HK","HK","HONG KONG","ASIA",3,"HONG KONG","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM","10",122,"Consumption goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1130","17049000",170490,"CN","CN",0,17,"VSEA","2021 / C / 7565",2021-12-01,"IM / 4",4000,0,204718,"315441","LAO LI STORE
","SHENZHEN ",1,62.29,NA,"Other","APLINE LOLLIE","51.9","51","715","Cartons","51","KGM","CFR",2563,"255","575","1,020.00",0,0,0,7960,1704,62,2021,"December",1,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","CN","CN","CHINA, PEOPLES REPUBLIC OF","ASIA",3,"CHINA, PEOPLES REPUBLIC OF","CN","CN","CHINA, PEOPLES REPUBLIC OF","ASIA",3,"CHINA, PEOPLES REPUBLIC OF","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM","10",122,"Consumption goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1131","17049000",170490,"AU","AU",0,17,"SSEA","2021 / C / 1846",2021-12-06,"IM / 4",4000,0,103862,"103862","LO CHAN MOON
","GEOFFREY HUGHES ",3,62.29,NA,"Other","ASST SWEETS","76","76","0","Enclosure; ","18.78","KGM","FOB",145964,"14,595.00","24,140.00","375",0,0,0,747,1704,62,2021,"December",6,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Other Imports","Other products ","KGM","10",122,"Consumption goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1137","18040000",180400,"FJ","FJ",0,18,"SSEA","2021 / C / 1939",2021-12-20,"IM / 4",4000,0,266664,"141057","PUNJAS (VANUATU) LTD
","PUNJAS PTE LIMITED 
",17,72.4,NA,"Cocoa butter, fat and oil.","VASELLI COCOA BUTTER","43.59","43.59","0","Enclosure; ","43.59","KGM","FOB",35730,"7,145.00","6,430.00","0",0,0,0,2067,1804,72,2021,"December",20,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","FJ","FJ","FIJI","OCEANIA",5,"FIJI","FJ","FJ","FIJI","OCEANIA",5,"FIJI","Cocoa butter, fat and oil.","Cocoa butter, fat and oil.","Other products","Other products ","Other Imports","Other products ","KGM","20",121,"Intermediate goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1138","18050000",180500,"FJ","FJ",0,18,"VSEA","2021 / C / 7962",2021-12-20,"IM / 4",4000,0,113577,"113577","AU BON MARCHE
","CJ PATEL (PACIFIC) LTD
",9,72.2,NA,"Cocoa powder, not containing added sugar or other sweetening matter.","NESTLE COCOA 190G","437.9","437.9","65","Cartons","437.9","KGM","FOB",228440,"45,690.00","41,120.00","0",0,0,0,11261,1805,72,2021,"December",20,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","FJ","FJ","FIJI","OCEANIA",5,"FIJI","FJ","FJ","FIJI","OCEANIA",5,"FIJI","Cocoa powder, not containing added sugar or other sweetening matter.","Cocoa powder, not containing added sugar or other sweetening matter.","Other products","Other products ","Other Imports","Other products ","KGM","20",121,"Intermediate goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1139","18050000",180500,"NZ","NZ",0,18,"VSEA","2021 / C / 8294",2021-12-24,"IM / 4",4000,0,166070,"430223","DYNAMIC SUPPLY ","DSC LTD
",16,72.2,NA,"Cocoa powder, not containing added sugar or other sweetening matter.","COCOA","150","150","0","Enclosure; ","25","KGM","FOB",102625,"20,525.00","18,475.00","0",0,0,0,13154,1805,72,2021,"December",24,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","Cocoa powder, not containing added sugar or other sweetening matter.","Cocoa powder, not containing added sugar or other sweetening matter.","Other products","Other products ","Other Imports","Other products ","KGM","20",121,"Intermediate goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1140","18050000",180500,"FJ","FJ",0,18,"SSEA","2021 / C / 1994",2021-12-23,"IM / 4",4000,0,103862,"103862","LO CHAN MOON
","TAHI PACIFIC (NZ) LTD.
",2,72.2,NA,"Cocoa powder, not containing added sugar or other sweetening matter.","COCOA POWDER","388","388","0","Enclosure; ","388","KGM","FOB",97655,"19,530.00","17,580.00","0",0,0,0,2579,1805,72,2021,"December",23,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","FJ","FJ","FIJI","OCEANIA",5,"FIJI","FJ","FJ","FIJI","OCEANIA",5,"FIJI","Cocoa powder, not containing added sugar or other sweetening matter.","Cocoa powder, not containing added sugar or other sweetening matter.","Other products","Other products ","Other Imports","Other products ","KGM","20",121,"Intermediate goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1141","18050000",180500,"MY","MY",0,18,"SSEA","2021 / C / 1968",2021-12-22,"IM / 4",4000,0,266664,"801782","LO YING CHEE
","SM IMPORT & EXPORT SDN ",14,72.2,NA,"Cocoa powder, not containing added sugar or other sweetening matter.","MILO","160","160","0","Enclosure; ","160","KGM","FOB",73889,"14,780.00","13,300.00","0",0,0,0,2446,1805,72,2021,"December",22,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","MY","MY","MALAYSIA","ASIA",3,"MALAYSIA","MY","MY","MALAYSIA","ASIA",3,"MALAYSIA","Cocoa powder, not containing added sugar or other sweetening matter.","Cocoa powder, not containing added sugar or other sweetening matter.","Other products","Other products ","Other Imports","Other products ","KGM","20",121,"Intermediate goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
"1142","18061000",180610,"NZ","NZ",0,18,"VSEA","2021 / C / 7766",2021-12-10,"IM / 4",4000,0,377184,"109181","STANLEY IMPORTS
","1 DAY 
",2,73.1,NA,"Cocoa powder, containing added sugar or other sweetening matter","CHOCOLATES","150.5","150.5","0","Various, ie. ","26","NMB","CIF",29401,"5,880.00","5,290.00","0",0,0,0,9836,1806,73,2021,"December",10,"SEA","IV.Prepared foodstuffs, beverages, spirits & tobacco","Food & Live Animals","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","NZ","NZ","NEW ZEALAND","OCEANIA",5,"NEW ZEALAND","Cocoa powder, containing added sugar or other sweetening matter","Cocoa powder, containing added sugar or other sweetening matter","Other products","Other products ","Other Imports","Other products ","NMB","20",122,"Consumption goods","IMPORT","Sweet snacks","Confectionary","Chocolate and sweets (chocolate and sugar based), Chewing gum"
