"HS.Code","HS.Code_6","CE.CD","CO","SITC_1","HS.Code_2","Office","Reg.Ref","Reg..Date","Type","CP4","CP3","Declarant","Con_cod","Con...Exp.name","Shipper...Buyer.name","Itm..","SITC","PRF","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","Wgt..Gross","Wgt..Net","Pkg..","Pkg..type","Supp.Qty","Supp","TOD","Stat..Value","IMD","VAT","IEX","DEX","EXD","OED","ITEM.INSURANCE","FREIGHT","RawDataRowID","HS.Code_4","SITC_3","Year","Month","Day","Mode.of.Transport","HS.Section","SITC.description","IMPORT.CTY.CD","CTY_Origin","IMPORT.COUNTRY","IMPORT.REGION","IMPORT.REG.","IMPORT.PARTNER.COUNTRIES","CTY_Dest","EXPORT.CTY.CD","EXPORT.COUNTRY","EXPORT.REGION","EXPORT.REG.","EXPORT.PARTNER.COUNTRIES","TAR_ALL","TAR_DSC","Principle.Exports","Principle.ReExports","Principle.Imports","Classifications.Combined","Unit.Qty","Import.Duty.Rate","X","X.1","BEC4","Description","CommodityType","Unhealthy.Focus.Food.Category","Food.sub.category","Product"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9748",NA,"IM / 4",4000,0,233921,"455569","VANUATU BUTCHERY
","CNSZ TRADING
",1,12.35,NA,"Other","FROZEN POULTRY","3,313.50","3,205.00","217","Cartons","3,205.00","KGM","FOB",775702,"116,355.00","143,425.00","64,100.00",0,"0",0,0,86508,1029,207,12,2024,"December",31,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9713",NA,"IM / 4",4000,0,233921,"455569","VANUATU BUTCHERY
","CNSZ TRADING
",1,12.35,NA,"Other","CHICKEN CUTS","15,675.00","15,200.00","950","Cartons","15,200.00","KGM","CIF",4048315,"607,245.00","743,935.00","304,000.00",0,"0",0,0,0,261,207,12,2024,"December",30,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9748",NA,"IM / 4",4000,0,233921,"455569","VANUATU BUTCHERY
","CNSZ TRADING
",5,12.35,NA,"Other","FROZEN CHICKN POULTRY","3,970.00","3,828.00","284","Cartons","3,828.00","KGM","FOB",1726298,"258,945.00","309,270.00","76,560.00",0,"0",0,0,192520,680,207,12,2024,"December",31,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9689",NA,"IM / 4",4000,0,233921,"455569","VANUATU BUTCHERY
","CNSZ TRADING
",1,12.35,NA,"Other","CHICKEN DRUMSTICKS","15,272.00","14,720.00","920","Cartons","14,720.00","KGM","CIF",3423237,"513,485.00","634,670.00","294,400.00",0,"0",0,0,0,316,207,12,2024,"December",30,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9630",NA,"IM / 4",4000,0,233921,"455569","VANUATU BUTCHERY
","CNSZ
",1,12.35,NA,"Other","MIXXED FROZEN POULTRY","5,125.00","5,000.00","250","Cartons","5,000.00","KGM","FOB",1532612,"229,890.00","279,375.00","100,000.00",0,"0",0,0,248092,729,207,12,2024,"December",27,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9414",NA,"IM / 4",4000,0,559298,"400954","MAGENTA HOLDINGS ","NATURALLY AUSTRALIAN ",1,12.35,NA,"Other","FROZEN CHICKEN","26,700.00","26,700.00","2,225","Enclosure; ","26,700.00","KGM","CIF",6176751,"926,515.00","1,145,590.00","534,000.00",0,"0",0,0,0,172,207,12,2024,"December",13,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9372",NA,"IM / 4",4000,0,233921,"455569","VANUATU BUTCHERY
","Z & H
",1,12.35,NA,"Other","DRUMSTIKS","6,262.80","5,616.00","351","Cartons","5,616.00","KGM","FOB",1442158,"216,325.00","265,620.00","112,320.00",0,"0",0,0,226635,747,207,12,2024,"December",12,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"VSEA","2024 / C / 9401",NA,"IM / 4",4000,0,233921,"455569","VANUATU BUTCHERY
","Z & H 
",1,12.35,NA,"Other","FROZEN CHICKEN CUTS","15,769.00","14,556.00","1,213","Cartons","14,556.00","KGM","CIF",3343057,"501,460.00","620,345.00","291,120.00",0,"0",0,0,0,323,207,12,2024,"December",13,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"AU","AU",0,2,"SSEA","2024 / C / 2393",NA,"IM / 4",4000,0,266664,"547062","MARTIN COMPANY ","ANTAP INTERNATIONAL PTY ",2,12.35,NA,"Other","FROZEN  CHICKEN  DRUMSTICKS","8,473.90","8,192.00","512","Cartons","8,192.00","KGM","CIF",2409062,"361,360.00","440,140.00","163,840.00",0,"0",0,0,0,500,207,12,2024,"December",10,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
"02071490",20714,"SG","AU",0,2,"VSEA","2024 / C / 9474",NA,"IM / 4",4000,0,803753,"126254","ESAH CORPORATION
","ESFIRA PTE LTD - 5189
",1,12.35,NA,"Other","FROZEN CHICKEN COCKTAILS 15KGS","11,965.02","11,965.02","950","Cartons","12,000.00","KGM","CIF",2072992,"310,950.00","393,590.00","240,000.00",0,"0",0,0,0,599,207,12,2024,"December",16,"SEA","I.Live animals: animal products","Food & Live Animals","AU","AU","AUSTRALIA","OCEANIA",5,"AUSTRALIA","SG","SG","SINGAPORE","ASIA",3,"SINGAPORE","Other","Other","Other products","Other products ","Meat and edible offal of poultry","Meat and edible offal of poultry","KGM",20,NA,NA,122,"Consumption goods","IMPORT","Fatty Meat Products ","Processed Meats","Sausage, ham, bacon, salami, jerky, cold cuts, chicken nuggets, patties"
