HS.Code,TAR_ALL,TAR_DSC,Principle Exports,Principle ReExports,Principle Imports,Classifications Combined,Unit Qty,Import Duty Rate
1012100,Pure-bred breeding animals,Pure-bred breeding animals,Other products,Other products ,Other Imports,Other products ,NMB,5
1012900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1013000,Asses,Asses,Other products,Other products ,Other Imports,Other products ,NMB,5
1019000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1022100,Pure bred breeding animals,Pure bred breeding animals,Other products,Other products ,Other Imports,Other products ,NMB,5
1022900,other,other,Other products,Other products ,Other Imports,Other products ,NMB,5
1023100,Pure bred-breeding animals,Pure bred-breeding animals,Other products,Other products ,Other Imports,Other products ,NMB,5
1023900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1029000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1031000,Pure-bred breeding animals,Live pure-bred breeding swine,Other products,Other products ,Other Imports,Other products ,NMB,5
1039100,Weighing less than 50kg,Weighing less than 50kg,Other products,Other products ,Other Imports,Other products ,NMB,5
1039200,Weighing 50kg or more,Weighing 50kg or more,Other products,Other products ,Other Imports,Other products ,NMB,5
1041000,Sheep,Sheep,Other products,Other products ,Other Imports,Other products ,NMB,5
1042000,Goats,Goats,Other products,Other products ,Other Imports,Other products ,NMB,5
1051100,Fowls of the species Gallus domesticus,Fowls of the species Gallus domesticus,Other products,Other products ,Other Imports,Other products ,NMB,0
1051200,Turkeys,Turkeys,Other products,Other products ,Other Imports,Other products ,NMB,0
1051300,Ducks,Ducks,Other products,Other products ,Other Imports,Other products ,NMB,0
1051400,Geese,Geese,Other products,Other products ,Other Imports,Other products ,NMB,0
1051500,Guinea fowls,Guinea fowls,Other products,Other products ,Other Imports,Other products ,NMB,0
1059400,Fowls of the species Gallus domesticus,Fowls of the species Gallus domesticus,Other products,Other products ,Other Imports,Other products ,NMB,5
1059900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1061100,Primates,Primates,Other products,Other products ,Other Imports,Other products ,NMB,5
1061200,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","Whles, dlphins & prpises (mmmals of the ordr Cetcea); mntees and dugngs (mammls…",Other products,Other products ,Other Imports,Other products ,NMB,5
1061300,Camels and other camelids (Camelidae),Camels and other camelids (Camelidae),Other products,Other products ,Other Imports,Other products ,NMB,5
1061400,Rabits and hares,Rabits and hares,Other products,Other products ,Other Imports,Other products ,NMB,5
1061900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1062000,Reptiles (including snakes and turtles),Reptiles (including snakes and turtles),Other products,Other products ,Other Imports,Other products ,NMB,5
1063100,Birds of prey,Birds of prey,Other products,Other products ,Other Imports,Other products ,NMB,5
1063200,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)","Psittaciformes (including parrots, parakeets, macaws and cockatoos)",Other products,Other products ,Other Imports,Other products ,NMB,5
1063300,Ostriches; emus (Dromaius novaehollandiae),Ostriches; emus (Dromaius novaehollandiae),Other products,Other products ,Other Imports,Other products ,NMB,5
1063900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1064100,Bees,Bees,Other products,Other products ,Other Imports,Other products ,NMB,5
1064900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
1069000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,5
2011000,Carcasses and half-carcasses,Carcasses and half-carcasses,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2012000,Other cuts with bone in,Other cuts with bone in,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2013000,Boneless,Boneless,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2021000,Carcasses and half-carcasses,Carcasses and half-carcasses,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2022000,Other cuts with bone in,Other cuts with bone in,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2023000,Boneless,Boneless,"Beef fresh, chilled, frozen and preserved",Other products ,Other Imports,"Beef fresh, chilled, frozen and preserved",KGM,30
2031100,Carcasses and half-carcasses,Carcasses and half-carcasses,Other products,Other products ,Other Imports,Other products ,KGM,30
2031200,"Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof, with bone in",Other products,Other products ,Other Imports,Other products ,KGM,30
2031900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
2032100,Carcasses and half-carcasses,Carcasses and half-carcasses,Other products,Other products ,Other Imports,Other products ,KGM,30
2032200,"Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof, with bone in",Other products,Other products ,Other Imports,Other products ,KGM,30
2032900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
2041000,"Carcasses and half-carcasses of lamb, fresh or chilled","Carcasses and half-carcasses of lamb, fresh or chilled",Other products,Other products ,Other Imports,Other products ,KGM,30
2042100,Carcasses and half-carcasses,Carcasses and half-carcasses,Other products,Other products ,Other Imports,Other products ,KGM,30
2042200,Other cuts with bone in,Other cuts with bone in,Other products,Other products ,Other Imports,Other products ,KGM,30
2042300,Boneless,Boneless,Other products,Other products ,Other Imports,Other products ,KGM,30
2043000,"Carcasses and half-carcasses of lamb, frozen","Carcasses and half-carcasses of lamb, frozen",Other products,Other products ,Other Imports,Other products ,KGM,30
2044100,Carcasses and half-carcasses,Carcasses and half-carcasses,Other products,Other products ,Other Imports,Other products ,KGM,30
2044200,Other cuts with bone in,Other cuts with bone in,Other products,Other products ,Other Imports,Other products ,KGM,30
2044300,Boneless,Boneless,Other products,Other products ,Other Imports,Other products ,KGM,30
2045000,Meat of goats,Meat of goats,Other products,Other products ,Other Imports,Other products ,KGM,30
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",Other products,Other products ,Other Imports,Other products ,KGM,30
2061000,"Of bovine animals, fresh or chilled","Of bovine animals, fresh or chilled",Other products,Other products ,Other Imports,Other products ,KGM,30
2062100,Tongues,Tongues,Other products,Other products ,Other Imports,Other products ,KGM,30
2062200,Livers,Livers,Other products,Other products ,Other Imports,Other products ,KGM,30
2062900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
2063000,"Of swine, fresh or chilled","Of swine, fresh or chilled",Other products,Other products ,Other Imports,Other products ,KGM,30
2064100,Livers,Livers,Other products,Other products ,Other Imports,Other products ,KGM,30
2064900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
2068000,"Other, fresh or chilled","Other, fresh or chilled",Other products,Other products ,Other Imports,Other products ,KGM,30
2069000,"Other, frozen","Other, frozen",Other products,Other products ,Other Imports,Other products ,KGM,30
2071100,"Not cut in pieces, fresh or chilled","Not cut in pieces, fresh or chilled",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2071200,"Not cut in pieces, frozen","Not cut in pieces, frozen",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2071310,Chicken wings,Chicken wings,Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2071390,Other,Other,Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2071410,Chicken wings,Chicken wings,Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,30
2071490,Other,Other,Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2072400,"Not cut in pieces, fresh or chilled","Not cut in pieces, fresh or chilled",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2072500,"Not cut in pieces, frozen","Not cut in pieces, frozen",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2072600,"Cuts and offal, fresh or chilled","Cuts and offal, fresh or chilled",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2072700,"Cuts and offal, frozen","Cuts and offal, frozen",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2074100,"Not cut in pieces, fresh or chilled","Not cut in pieces, fresh or chilled",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2074200,"Not cut in pieces, frozen","Not cut in pieces, frozen",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2074300,"Fatty livers, fresh or chilled","Fatty livers, fresh or chilled",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2074400,"Other, Fresh or chilled","Other, Fresh or chilled",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2074500,"Other, frozen","Other, frozen",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2075100,"Not cut in pieces, fresh or chilled","Not cut in pieces, fresh or chilled",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2075200,"Not cut in pieces, frozen","Not cut in pieces, frozen",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2075300,"Fatty livers, fresh or chilled","Fatty livers, fresh or chilled",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2075400,"other, fresh or chilled","other, fresh or chilled",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2075500,"Other, frozen","Other, frozen",Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2076000,Of guinea fowls,Of guinea fowls,Other products,Other products ,Meat and edible offal of poultry,Meat and edible offal of poultry,KGM,20
2081000,Of rabbits or hares,Of rabbits or hares,Other products,Other products ,Other Imports,Other products ,KGM,30
2083000,Of primates,Of primates,Other products,Other products ,Other Imports,Other products ,KGM,30
2084000,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees...,","Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees...,",Other products,Other products ,Other Imports,Other products ,KGM,30
2085000,Of reptiles (including snakes and turtles),Of reptiles (including snakes and turtles),Other products,Other products ,Other Imports,Other products ,KGM,30
2086000,Of camels and other camelids (Camelidae),Of camels and other camelids (Camelidae),Other products,Other products ,Other Imports,Other products ,KGM,30
2089000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
2091000,Of pigs,Of pigs,Other products,Other products ,Other Imports,Other products ,KGM,30
2099000,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
2101100,"Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof, with bone in",Other products,Other products ,Other Imports,Other products ,KGM,30
2101200,Bellies (streaky) and cuts thereof,Bellies (streaky) and cuts thereof,Other products,Other products ,Other Imports,Other products ,KGM,30
2101900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
2102000,Meat of bovine animals,Meat of bovine animals,Other products,Other products ,Other Imports,Other products ,KGM,30
2109100,Of Primates,Of Primates,Other products,Other products ,Other Imports,Other products ,KGM,30
2109200,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees...,","Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees...,",Other products,Other products ,Other Imports,Other products ,KGM,30
2109300,Of reptiles (including snakes and turtles),Of reptiles (including snakes and turtles),Other products,Other products ,Other Imports,Other products ,KGM,30
2109900,Other,Other,Other products,Other products ,Other Imports,Other products ,KGM,30
3011100,Freshwater,Freshwater,Ornamental fish,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Ornamental fish,KGM,15
3011900,Other,Other,Ornamental fish,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Ornamental fish,KGM,15
3019100,"Trout(Salmo trutta, Oncorhynchus'mykiss, clarki, aguabonita,gilae,apache chryso...,)","Trout(Salmo trutta, Oncorhynchus'mykiss, clarki, aguabonita,gilae,apache chryso...,)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3019200,Eels (Anguilla spp.),Eels (Anguilla spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3019300,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichtys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Carp (Cprns, Crss, Ctnpngdn, Hptlmcts, Crhns, Mlphngdn, Ctl, Lb, Ostcls, Lptbs, Mglbrm)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3019400,Atlnatic and Pacific bluefin tunas (Thunnus thynnus orientalis),Atlnatic and Pacific bluefin tunas (Thunnus thynnus orientalis),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3019500,Souther Bluefin tunas (Thunnus maccoyii),Souther Bluefin tunas (Thunnus maccoyii),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3019910,Live Tilapia fingerlinks (Oreochromis ssp).,Live Tilapia fingerlinks (Oreochromis ssp).,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,0
3019920,Live Vietnamese catfish fingerlinks (Pangassius ssp).,Live Vietnamese catfish fingerlinks (Pangassius ssp).,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,0
3019930,Other live juvenile fingerlinks,Other live juvenile fingerlinks,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,0
3019990,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3021100,"Trout(Salmo trutta, Oncorhynchus'mykiss, clarki, aguabonita,gilae,apache chryso...,)","Trout(Salmo trutta, Oncorhynchus'mykiss, clarki, aguabonita,gilae,apache chryso...,)",Fish: Tuna,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Fish: Tuna,KGM,15
3021300,"Pacific salmon (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou...)","Pacific salmon (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou...)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3021400,Atlantic salmon (Salmo salar) and Danube salmon (Hucho Hucho),Atlantic salmon (Salmo salar) and Danube salmon (Hucho Hucho),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3021900,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3022100,"Halibut (Reinhardtius, hippoglossoides, hippoglossus...,)","Halibut (Reinhardtius, hippoglossoides, hippoglossus...,)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3022200,Plaice (Pleuronectes platessa),Plaice (Pleuronectes platessa),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3022300,Sole (Solea spp.),Sole (Solea spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3022400,Turbots (Psetta maxima).,Turbots (Psetta maxima).,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3022900,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3023100,Albacore or longfinned tunas (hunnus alalunga),Albacore or longfinned tunas (hunnus alalunga),Fish: Tuna,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Fish: Tuna,KGM,15
3023200,Yellowfin tunas (Thunnus albacares),Yellowfin tunas (Thunnus albacares),Fish: Tuna,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Fish: Tuna,KGM,15
3023300,Skipjack or stripe-bellied bonito,Skipjack or stripe-bellied bonito,Fish: Tuna,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Fish: Tuna,KGM,15
3023400,Bigeye tunas (Thunnus obesus),Bigeye tunas (Thunnus obesus),Fish: Tuna,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Fish: Tuna,KGM,15
3023500,"Atlantic and Pacific Bluefin tunas (Thunnus thynnus, Thunnus orientals).","Atlantic and Pacific Bluefin tunas (Thunnus thynnus, Thunnus orientals).",Fish: Tuna,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Fish: Tuna,KGM,15
3023600,Southern bluefin tunas (Thunnus maccoyii),Southern bluefin tunas (Thunnus maccoyii),Fish: Tuna,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Fish: Tuna,KGM,15
3023900,Other,Other,Fish: Tuna,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates",Fish: Tuna,KGM,15
3024100,"Herrings (Clupea harengus, Clupea pallasii)","Herrings (Clupea harengus, Clupea pallasii)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3024200,Anchovies (Engraulis spp.),Anchovies (Engraulis spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3024300,"Sardines (Sardinas pilchardus, Sardinops spp.) sardinella (Sardinella spp.)...","Sardines (Sardinas pilchardus, Sardinops spp.) sardinella (Sardinella spp.)...",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3024400,"Mackerel (Scomber scombrus, scomber australasicus, Scomber Japonicas)","Mackerel (Scomber scombrus, scomber australasicus, Scomber Japonicas)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3024500,Jack and horse mackerel (Trachurus spp.),Jack and horse mackerel (Trachurus spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3024600,Cobia (Rachysentron canadum),Cobia (Rachysentron canadum),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3024700,Swordfish (Xiphias gladius),Swordfish (Xiphias gladius),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3024900,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3025100,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3025200,Haddock (Melanogrammus aeglefinus),Haddock (Melanogrammus aeglefinus),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3025300,Coalfish (Pollachius virens),Coalfish (Pollachius virens),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3025400,"Hake (Merluccius spp., Urophycis spp.)","Hake (Merluccius spp., Urophycis spp.)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3025500,Alaska Pollack (Theragra chalcogramma),Alaska Pollack (Theragra chalcogramma),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3025600,Blue whitings (Micromesistius australis),Blue whitings (Micromesistius australis),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3025900,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3027100,Tilapia (Oreochromis spp.),Tilapia (Oreochromis spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3027200,"Catfish (Pangasius spp., silurus spp., Clarias spp., Ictalurus spp.)","Catfish (Pangasius spp., silurus spp., Clarias spp., Ictalurus spp.)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3027300,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Carp (Cprns, Crsus, Ctnpndn, Hptlmcts , Crns, Mlpngdn , Ctl , Lbo, Ostcls, Ltbbs…",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3027400,Eels (Anguilla spp.),Eels (Anguilla spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3027900,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3028100,Dogfish and other sharks,Dogfish and other sharks,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3028200,Rays and skates (Rajidae),Rays and skates (Rajidae),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3028300,Toothfish (Dissostichus spp.),Toothfish (Dissostichus spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3028400,Seabass (Dicentrarchus spp.),Seabass (Dicentrarchus spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3028500,Seabream (Sparidae),Seabream (Sparidae),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3028900,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3029100,"Livers, roes and milt","Livers, roes and milt",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3029200,Shark fins,Shark fins,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3029900,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3031100,Sokeye salmon (red salmon) (Oncorhynchus nerka),Sokeye salmon (red salmon) (Oncorhynchus nerka),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3031200,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta...","Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta...",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3031300,Atlantic salmon (salmo salar) and Danube salmon (Hucho hucho),Atlantic salmon (salmo salar) and Danube salmon (Hucho hucho),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3031400,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki...)","Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki...)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3031900,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3032300,Tilapias (Oreochromis spp.),Tilapias (Oreochromis spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3032400,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3032500,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Carp (Cprns, Crsus, Ctnprndn, Hptmths, Crns, Mlpngdn, Ctl , Lb, Otcls, Lptbrbs, Mglbrm)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3032600,Eels (Anguilla spp.),Eels (Anguilla spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3032900,Other,Other,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3033100,"Halibut (Reinhardduis hippoglossoides, Hippoglossosus stenolepis)","Halibut (Reinhardduis hippoglossoides, Hippoglossosus stenolepis)",Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3033200,Plaice (Pleuronectes platessa),Plaice (Pleuronectes platessa),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3033300,Sole (Solea spp.),Sole (Solea spp.),Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
3033400,Turbots (Psetta maxima).,Turbots (Psetta maxima).,Other products,Other products ,"Fish and crustaceans, molluscs and other aquatic invertebrates","Fish and crustaceans, molluscs and other aquatic invertebrates",KGM,15
