HS.Code,TAR_ALL,TAR_DSC,Principle Exports,Principle ReExports,Principle Imports,Classifications Combined,Unit Qty,Import Duty Rate
87039010,"Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power","Otr vhcls, with bth cmprson-ignton intrnl cmbustn pstn engne & elctrc mtr as mtrs",Other products,Other products ,Motor vehicles for the transport of passengers,Motor vehicles for the transport of passengers,NMB,0
87039020,"Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, cable of being charged by plugging to external source of electric power","Otr vhcls, wth bth sprk-igntn intrnl cmbstn rcprctng pstn engne & elctrc mtr as mtrs fr",Other products,Other products ,Motor vehicles for the transport of passengers,Motor vehicles for the transport of passengers,NMB,0
87041000,"Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power","Otr vhcls, wth bth cmprson-ignton intrnl cmbstn pston engne & elctrc mtr as mtrs for",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,0
87042121,New,New,Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,30
87042122,Used or reconditioned,Used or reconditioned,Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,30
87042123,Dumpers designed for off-highway use,Dumpers designed for off-highway use,Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,15
87042124,g.v.w. not exceeding 5 tonnes,NULL,Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NULL,NULL
87042125,"With engines of a cylinder capacity not exceeding 1,500cc, new",NULL,Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NULL,NULL
87042129,"With engines of a cylinder capacity not exceeding 1,500cc, new","With engines of a cylinder capacity not exceeding 1,500cc, new",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,10
87042129,"With engines of a cylinder capcity not exceeding 1,500cc, used or reconditioned","With engines of a cylinder capcity not exceeding 1,500cc, used or reconditioned",Other products,Other products ,Motor vehicles for the transport of goods,Motor vehicles for the transport of goods,NMB,10
