Year,Month, Copra , Coconut.Oil , Beef , Cocoa , Kava 
2011,January,141,92,41,3,27
2011,February,,140,42,3,18
2011,March,165,201,53,,54
2011,April,147,60,56,4,63
2011,May,,228,54,37,45
2011,June,239,4,18,63,83
2011,July,,161,28,73,98
2011,August,112,1,57,6,68
2011,September,93,140,47,9,72
2011,October,1,387,44,7,53
2011,November,,74,56,21,64
2011,December,168,104,21,20,117
2012,January,139,113,27,10,15
2012,February,59,86,39,0,42
2012,March,236,10,57,,40
2012,April,26,114,27,11,65
2012,May,112,98,50,10,67
2012,June,160,105,58,49,58
2012,July,74,137,60,48,84
2012,August,131,3,30,13,54
2012,September,48,140,31,36,57
2012,October,71,197,60,11,65
2012,November,,1,25,37,81
2012,December,31,158,55,33,34
2013,January,37,38,27,18,70
2013,February,40,48,26,2,47
2013,March,66,3,35,3,51
2013,April,,15,24,13,82
2013,May,83,34,31,31,74
2013,June,,47,18,54,66
2013,July,48,4,33,47,74
2013,August,,0,5,41,105
2013,September,,100,23,35,77
2013,October,93,48,39,18,62
2013,November,,66,19,2,54
2013,December,85,56,45,30,72
2014,January,223,59,16,6,32
2014,February,,33,30,3,57
2014,March,,20,34,,34
2014,April,362,53,23,5,63
2014,May,148,122,35,44,98
2014,June,83,65,138,105,57
2014,July,296,95,32,48,76
2014,August,127,98,20,42,43
2014,September,78,1,31,5,53
2014,October,,98,34,59,58
2014,November,,385,27,79,142
2014,December,168,53,22,58,93
2015,January,,110,27,12,40
2015,February,,101,25,4,24
2015,March,122,101,21,,
2015,April,,45,29,17,1
2015,May,174,54,24,32,7
2015,June,,121,28,38,11
2015,July,230,55,17,65,18
2015,August,131,53,20,7,11
2015,September,,54,29,,18
2015,October,,46,35,52,26
2015,November,91,66,44,72,17
2015,December,,21,45,31,7
2016,January,236,54,22,37,172
2016,February,,69,27,22,91
2016,March,179,50,7,7,134
2016,April,,50,21,6,10
2016,May,223,52,15,4,100
2016,June,187,78,85,28,71
2016,July,146,53,16,46,100
2016,August,194,40,24,80,140
2016,September,130,45,16,0,66
2016,October,258,32,25,82,108
2016,November,144,22,8,98,130
2016,December,39,33,53,,84
2017,January,368,21,31,29,56
2017,February,,43,8,3,188
2017,March,,26,40,7,152
2017,April,406,20,16,3,26
2017,May,27,54,9,5,38
2017,June,242,97,15,29,30
2017,July,,111,8,18,40
2017,August,346,120,7,16,120
2017,September,160,79,9,20,110
2017,October,143,96,7,6,123
2017,November,59,78,7,9,134
2017,December,60,68,21,19,255
2018,January,,62,7,3,98
2018,February,24,23,,0,140
2018,March,,45,7,8,432
2018,April,113,67,,1,172
2018,May,13,29,,18,306
2018,June,21,20,15,37,133
2018,July,36,47,8,64,91
2018,August,20,49,6,25,208
2018,September,165,8,15,7,203
2018,October,14,30,,3,157
2018,November,13,0,,23,170
2018,December,4,22,7,3,404
2019,January,21,0,,19,116
2019,February,,28,7,6,264
2019,March,0,33,8,3,342
2019,April,,22,,2,266
2019,May,82,25,,48,263
2019,June,,24,8,17,227
2019,July,,0,16,34,254
2019,August,89,46,9,64,301
2019,September,,31,27,2,192
2019,October,0,19,8,26,244
2019,November,,19,,17,241
2019,December,73,38,12,31,260
2020,January,,0,16,25,117
2020,February,23,9,8,14,198
2020,March,98,15,17,0,170
2020,April,,8,,,168
2020,May,76,,7,8,97
2020,June,10,,,30,435
2020,July,62,8,,11,153
2020,August,14,15,8,45,297
2020,September,,,8,4,232
2020,October,10,54,8,24,286
2020,November,43,35,13,7,144
2020,December,,21,,8,305
